# File: A_FuelStandards.csv,,,,,,,,,,,,
# Title: Fuel Standard Policies,,,,,,,,,,,,
# Comments: SSP_sce is the transport UCD scenario to compare to - the code will select the lower fuel coefficient between this file and that scenario,,,,,,,,,,,,
# Units: BTU/vkm,,,,,,,,,,,,
# Column types: cccccccinnnnn,,,,,,,,,,,,
# ----------,,,,,,,,,,,,
xml,SSP_sce,region,supplysector,tranSubsector,stub.technology,minicam.energy.input,old_classes,2020,2025,2030,2035,2040
policy_fuelst_eu.xml,CORE,EU-12,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids transport,0,2010.120721,1894.530587,1823.108095,1823.108095,1823.108095
policy_fuelst_eu.xml,CORE,EU-12,trn_pass_road_LDV_4W,Car,Liquids,refined liquids transport,0,1838.919524,1680.380743,1585.404444,1585.404444,1585.404444
policy_fuelst_eu.xml,CORE,EU-12,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,refined liquids transport,0,1567.536552,1477.396812,1421.699974,1421.699974,1421.699974
policy_fuelst_eu.xml,CORE,EU-12,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,refined liquids transport,0,2358.12617,2154.825022,2033.032799,2033.032799,2033.032799
policy_fuelst_eu.xml,CORE,EU-15,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids transport,0,1495.425673,1419.12083,1379.031501,1379.031501,1379.031501
policy_fuelst_eu.xml,CORE,EU-15,trn_pass_road_LDV_4W,Car,Liquids,refined liquids transport,0,1754.328413,1620.122289,1551.505345,1551.505345,1551.505345
policy_fuelst_eu.xml,CORE,EU-15,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,refined liquids transport,0,1856.227088,1761.512173,1711.75049,1711.75049,1711.75049
policy_fuelst_eu.xml,CORE,EU-15,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,refined liquids transport,0,2177.590135,2011.00449,1925.832535,1925.832535,1925.832535
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,refined liquids transport,1,,,,,
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Compact Car,Liquids,refined liquids transport,1,1680,,,,
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Large Car and SUV,Hybrid Liquids,refined liquids transport,1,,,,,
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Large Car and SUV,Liquids,refined liquids transport,1,2799,,,,
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,refined liquids transport,1,,,,,
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Mini Car,Liquids,refined liquids transport,1,1166.600728,,,,
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Subcompact Car,Hybrid Liquids,refined liquids transport,1,,,,,
policy_fuelst_br.xml,CORE,Brazil,trn_pass_road_LDV_4W,Subcompact Car,Liquids,refined liquids transport,1,1697.625258,,,,
policy_fuelst_can.xml,CORE,Canada,trn_pass_road_LDV_4W,Light Truck and SUV,Hybrid Liquids,refined liquids transport,1,2258.902931,2088.760826,,,
policy_fuelst_can.xml,CORE,Canada,trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,refined liquids transport,1,2779.810813,2443.481732,,,
policy_fuelst_can.xml,CORE,Canada,trn_pass_road_LDV_4W,Midsize Car,Hybrid Liquids,refined liquids transport,1,1179.851267,1090.984067,,,
policy_fuelst_can.xml,CORE,Canada,trn_pass_road_LDV_4W,Midsize Car,Liquids,refined liquids transport,1,1451.94166,1276.271358,,,
policy_fuelst_can.xml,CORE,Canada,trn_pass_road_LDV_4W,Van,Hybrid Liquids,refined liquids transport,1,1562.764407,1445.055929,,,
policy_fuelst_can.xml,CORE,Canada,trn_pass_road_LDV_4W,Van,Liquids,refined liquids transport,1,1923.165325,1690.481711,,,
policy_fuelst_chn.xml,CORE,China,trn_pass_road_LDV_4W,Compact Car,Liquids,refined liquids transport,1,1563.872574,,,,
policy_fuelst_chn.xml,CORE,China,trn_pass_road_LDV_4W,Large Car and SUV,Liquids,refined liquids transport,1,2441.240169,,,,
policy_fuelst_chn.xml,CORE,China,trn_pass_road_LDV_4W,Mini Car,Liquids,refined liquids transport,1,1438.237823,,,,
policy_fuelst_chn.xml,CORE,China,trn_pass_road_LDV_4W,Subcompact Car,Liquids,refined liquids transport,1,1461.946629,,,,
policy_fuelst_ind.xml,CORE,India,trn_pass_road_LDV_4W,Compact Car,Liquids,refined liquids transport,1,1857.67279,1679.336202,,,
policy_fuelst_ind.xml,CORE,India,trn_pass_road_LDV_4W,Mini Car,Liquids,refined liquids transport,1,1203.766629,1088.205032,,,
policy_fuelst_ind.xml,CORE,India,trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,refined liquids transport,1,3111.07651,2812.413165,,,
policy_fuelst_ind.xml,CORE,India,trn_pass_road_LDV_4W,Subcompact Car,Liquids,refined liquids transport,1,1474.125259,1332.609234,,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,refined liquids transport,1,1425,1278,1132,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Compact Car,Liquids,refined liquids transport,1,1743,1581,1418,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Large Car and SUV,Hybrid Liquids,refined liquids transport,1,2305,2068,1831,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Large Car and SUV,Liquids,refined liquids transport,1,2820,2557,2294,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,refined liquids transport,1,803,720,638,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Mini Car,Liquids,refined liquids transport,1,982,891,799,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Subcompact Car,Hybrid Liquids,refined liquids transport,1,1337,1196,1062,,
policy_fuelst_jap.xml,CORE,Japan,trn_pass_road_LDV_4W,Subcompact Car,Liquids,refined liquids transport,1,1635,1483,1331,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Compact Car,Liquids,refined liquids transport,1,1422.101447,1422.101447,,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Large Car,Liquids,refined liquids transport,1,1834.634062,1834.634062,,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,refined liquids transport,1,2607.26788,2607.26788,,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Subcompact Car,Liquids,refined liquids transport,1,1334.062721,1334.062721,,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,refined liquids transport,1,1187.339105,,,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Large Car,Hybrid Liquids,refined liquids transport,1,1531.804452,,,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Light Truck and SUV,Hybrid Liquids,refined liquids transport,1,2189.134549,,,,
policy_fuelst_kor.xml,CORE,South Korea,trn_pass_road_LDV_4W,Subcompact Car,Hybrid Liquids,refined liquids transport,1,1113.852164,,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Compact Car,Liquids,refined liquids transport,1,1679.351577,1419.451929,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Large Car,Liquids,refined liquids transport,1,2229.280544,1884.272841,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,refined liquids transport,1,3050.772758,2460.300611,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Midsize Car,Liquids,refined liquids transport,1,2148.43152,1815.936165,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,refined liquids transport,1,1273.677851,1179.014474,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Large Car,Hybrid Liquids,refined liquids transport,1,1690.772481,1565.109439,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Light Truck and SUV,Hybrid Liquids,refined liquids transport,1,2313.820349,2098.751494,,,
policy_fuelst_usa.xml,CORE,USA,trn_pass_road_LDV_4W,Midsize Car,Hybrid Liquids,refined liquids transport,1,1629.432546,1508.328463,,,
policy_fuelst_can_freight.xml,CORE,Canada,trn_freight_road,Truck (0-4.5t),Liquids,refined liquids transport,1,3859.432226,3348.949305,,,
policy_fuelst_can_freight.xml,CORE,Canada,trn_freight_road,Truck (4.5-15t),Liquids,refined liquids transport,1,8678.895128,7530.947068,6382.999008,,
policy_fuelst_can_freight.xml,CORE,Canada,trn_freight_road,Truck (>15t),Liquids,refined liquids transport,1,11843.24746,10281.59573,8719.944,,
policy_fuelst_chn_freight.xml,CORE,China,trn_freight_road,Truck (0-2t),Liquids,refined liquids transport,1,3714.427875,,,,
policy_fuelst_chn_freight.xml,CORE,China,trn_freight_road,Truck (0-6t),Liquids,refined liquids transport,1,4247.675241,,,,
policy_fuelst_chn_freight.xml,CORE,China,trn_freight_road,Truck (2-5t),Liquids,refined liquids transport,1,4603.173485,,,,
policy_fuelst_chn_freight.xml,CORE,China,trn_freight_road,Truck (5-9t),Liquids,refined liquids transport,1,7091.661193,,,,
policy_fuelst_chn_freight.xml,CORE,China,trn_freight_road,Truck (6-14t),Liquids,refined liquids transport,1,8414.885031,,,,
policy_fuelst_chn_freight.xml,CORE,China,trn_freight_road,Truck (9-16t),Liquids,refined liquids transport,1,9035.568215,,,,
policy_fuelst_chn_freight.xml,CORE,China,trn_freight_road,Truck (>14t),Liquids,refined liquids transport,1,11394.16431,,,,
policy_fuelst_eu_freight.xml,CORE,EU-15,trn_freight_road,Truck (0-1t),Liquids,refined liquids transport,1,4042.171512,3714.427875,3058.940603,,
policy_fuelst_eu_freight.xml,CORE,EU-15,trn_freight_road,Truck (0-3.5t),Liquids,refined liquids transport,1,4042.171512,3714.427875,3058.940603,,
policy_fuelst_eu_freight.xml,CORE,EU-15,trn_freight_road,Truck (16-32t),Liquids,refined liquids transport,1,12399.53174,11394.16431,9383.429428,,
policy_fuelst_eu_freight.xml,CORE,EU-15,trn_freight_road,Truck (3.5-16t),Liquids,refined liquids transport,1,9089.829949,8352.81671,6878.790232,,
policy_fuelst_eu_freight.xml,CORE,EU-15,trn_freight_road,Truck (6-15t),Liquids,refined liquids transport,1,9292.464755,8539.021666,7032.13549,,
policy_fuelst_eu_freight.xml,CORE,EU-15,trn_freight_road,Truck (>15t),Liquids,refined liquids transport,1,12399.53174,11394.16431,9383.429428,,
policy_fuelst_eu_freight.xml,CORE,EU-15,trn_freight_road,Truck (>32t),Liquids,refined liquids transport,1,12399.53174,11394.16431,9383.429428,,
policy_fuelst_eu_freight.xml,CORE,EU-12,trn_freight_road,Truck (0-3.5t),Liquids,refined liquids transport,1,4042.171512,3714.427875,3058.940603,,
policy_fuelst_eu_freight.xml,CORE,EU-12,trn_freight_road,Truck (3.5-16t),Liquids,refined liquids transport,1,9089.829949,8352.81671,6878.790232,,
policy_fuelst_eu_freight.xml,CORE,EU-12,trn_freight_road,Truck (16-32t),Liquids,refined liquids transport,1,12399.53174,11394.16431,9383.429428,,
policy_fuelst_eu_freight.xml,CORE,EU-12,trn_freight_road,Truck (>32t),Liquids,refined liquids transport,1,12399.53174,11394.16431,9383.429428,,
policy_fuelst_ind_freight.xml,CORE,India,trn_freight_road,Truck (0-2t),Liquids,refined liquids transport,1,2172.503211,1806.095953,1806.095953,,
policy_fuelst_ind_freight.xml,CORE,India,trn_freight_road,Truck (2-5t),Liquids,refined liquids transport,1,3728.923421,3103.112795,3103.112795,,
policy_fuelst_ind_freight.xml,CORE,India,trn_freight_road,Truck (5-9t),Liquids,refined liquids transport,1,5290.090885,4637.363881,4637.363881,,
policy_fuelst_ind_freight.xml,CORE,India,trn_freight_road,Truck (9-16t),Liquids,refined liquids transport,1,6160.83,5674.448684,5674.448684,,
